,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
270,62829,42003489001,0.0566583953680727,0.1778329197684036,0.0420679168778509,0.03,0.1575925723525605,62829,4836
293,62852,42003507000,0.1436837029893924,0.1528447444551591,0.1383399209486166,0.0,0.1563640932271614,62852,2074
217,62776,42003472300,0.1689225771521386,0.1088251218191662,0.1382198952879581,0.0,0.1524161696033565,62776,1847
216,62775,42003472200,0.1539784946236559,0.1273118279569892,0.1365461847389558,0.0,0.151708778323568,62775,2325
137,62696,42003423000,0.1017301038062283,0.1847750865051903,0.0589198036006546,0.016,0.1504063659529501,62696,2890
251,62810,42003480300,0.1342391304347826,0.1214673913043478,0.0184713375796178,0.018,0.1502792561665908,62810,3680
257,62816,42003484500,0.2261111111111111,0.0548148148148148,0.1412343809163195,0.005,0.1436596790371761,62816,5400
74,62633,42003202300,0.1275496328528692,0.3075877073701387,0.0411797440178074,0.0069999999999999,0.1428834149036673,62633,3677
157,62716,42003430100,0.2324561403508772,0.0648148148148148,0.1270833333333333,0.0,0.1404613017524848,62716,2052
31,62590,42003101400,0.0805816419266888,0.1438957891548015,0.161056105610561,0.0,0.1382960484334577,62590,3301
35,62594,42003110600,0.0903665814151747,0.1768968456947996,0.1191806331471136,0.0,0.135588865764621,62594,2346
34,62593,42003110200,0.0564874198322644,0.3297977306364085,0.083046683046683,0.0,0.1336714922963483,62593,4054
213,62772,42003470600,0.0751445086705202,0.1101477199743095,0.0794297352342158,0.02,0.1335934089402313,62772,3114
205,62764,42003468700,0.2097701149425287,0.1632183908045977,0.0555555555555555,0.0,0.1298786563388759,62764,1740
268,62827,42003488500,0.2273864855202002,0.1405076868072935,0.0756501182033096,0.0,0.1296404919309535,62827,2797
318,62877,42003521500,0.1267741159490016,0.1618955977868655,0.0662747194013896,0.009,0.1286777969980464,62877,4157
2,62561,42003020300,0.0883752549286199,0.2046227056424201,0.0815370196813495,0.003,0.1283894073443695,62561,1471
165,62724,42003435000,0.1731378763866878,0.1969096671949287,0.0407978241160471,0.005,0.1261790343587853,62724,2524
264,62823,42003488100,0.1394302848575712,0.1169415292353823,0.0921198668146503,0.0,0.1251469839727339,62823,2001
141,62700,42003426400,0.091839162502974,0.0689983345229598,0.0315040650406504,0.025,0.1222603560327526,62700,4203
94,62653,42003320400,0.1923076923076923,0.1592632719393282,0.0763274336283185,0.0,0.121911371799881,62653,1846
287,62846,42003499300,0.1768025078369905,0.0677115987460815,0.132183908045977,0.0,0.1210117561989723,62846,1595
254,62813,42003482500,0.1041785918717801,0.2541499713795077,0.068069306930693,0.0069999999999999,0.1172983062804473,62813,1747
283,62842,42003496102,0.2146997449571064,0.0317644331092047,0.0847166571265025,0.005,0.116697211045882,62842,4313
369,62928,42003564000,0.0316785518376302,0.1330224904004388,0.0080275229357798,0.022,0.1159261225484887,62928,7292
222,62781,42003473401,0.0973890339425587,0.0519582245430809,0.1132323897300855,0.009,0.1140400962169989,62781,3830
316,62875,42003521401,0.0854489164086687,0.2625386996904025,0.0093530787217459,0.0069999999999999,0.1126676818899514,62875,3230
187,62746,42003457100,0.1856245638520586,0.0872295882763433,0.0997109826589595,0.0,0.1114571059004787,62746,1433
71,62630,42003191900,0.176007410838351,0.063455303381195,0.0957854406130268,0.0,0.1061776305363984,62630,2159
308,62867,42003518001,0.0824544582933844,0.1339085969958453,0.0794135613927917,0.0,0.1033388287289898,62867,3129
117,62676,42003413100,0.1021226065014101,0.209143535698382,0.043230944254835,0.0,0.1025551638149993,62676,6737
150,62709,42003429201,0.0514262756126958,0.2008838891120932,0.0325604341391218,0.012,0.1022370554030071,62709,4978
350,62909,42003560500,0.1428571428571428,0.1555153707052441,0.0707298720842738,0.0,0.1016591948929001,62909,2212
225,62784,42003473601,0.0792181069958847,0.1082818930041152,0.098125,0.0,0.1016146280968489,62784,3888
342,62901,42003551300,0.1558836300477638,0.0872774641771602,0.0991501416430594,0.0,0.0997516838250612,62901,2303
193,62752,42003459201,0.113688780355447,0.1762311762311762,0.0192700729927007,0.005,0.0968193716048934,62752,7371
104,62663,42003406000,0.1332459589340323,0.037570991699432,0.0198952879581151,0.013,0.0965789146866625,62663,2289
335,62894,42003526102,0.084669132757912,0.0394574599260172,0.0292207792207792,0.018,0.0951867877133773,62894,2433
226,62785,42003473602,0.0467948717948717,0.1925213675213675,0.092027822364901,0.0,0.0947081733867027,62785,4680
